Day,day_in_sale,net_sales,year,dom,month
Friday,1,2194340.0,2021,19.0,Feb
Saturday,2,856621.0,2021,20.0,Feb
Sunday,3,565320.0,2021,21.0,Feb
Monday,4,588736.0,2021,22.0,Feb
Tuesday,5,405268.0,2021,23.0,Feb
Wednesday,6,568950.0,2021,24.0,Feb
Thursday,7,498139.0,2021,25.0,Feb
Friday,8,602472.0,2021,26.0,Feb
Saturday,9,749602.0,2021,27.0,Feb
Sunday,10,1344093.0,2021,28.0,Feb
Monday,11,61803.0,2021,29.0,Feb
Monday,1,545458.0,2020,,
Tuesday,2,300993.0,2020,,
Wednesday,3,265961.0,2020,,
Thursday,4,242614.0,2020,,
Friday,5,246078.0,2020,,
Saturday,6,236198.0,2020,,
Sunday,7,215866.0,2020,,
Monday,8,268742.0,2020,,
Tuesday,9,284616.0,2020,,
Wednesday,10,327839.0,2020,,
Thursday,11,405349.0,2020,,
Friday,12,626276.0,2020,,
Saturday,13,1275692.0,2020,,
Sunday,14,121042.0,2020,,
Monday,1,921217.74,2019,,
Tuesday,2,537206.0,2019,,
Wednesday,3,370511.0,2019,,
Thursday,4,376842.0,2019,,
Friday,5,416210.0,2019,,
Saturday,6,370814.0,2019,,
Sunday,7,392753.0,2019,,
Monday,8,423444.0,2019,,
Tuesday,9,430678.0,2019,,
Wednesday,10,603633.0,2019,,
Thursday,11,1262057.0,2019,,
Monday,1,555801.0,2018,,
Tuesday,2,343247.0,2018,,
Wednesday,3,353813.0,2018,,
Thursday,4,377934.0,2018,,
Friday,5,469615.0,2018,,
Saturday,6,634181.0,2018,,
Sunday,7,1136044.0,2018,,
Monday,8,120259.0,2018,,
Tuesday,9,77551.0,2018,,
Wednesday,10,119740.0,2018,,
Monday,1,783944.0,2017,,
Tuesday,2,412985.0,2017,,
Wednesday,3,367813.0,2017,,
Thursday,4,452932.0,2017,,
Friday,5,477225.0,2017,,
Saturday,6,593619.0,2017,,
Sunday,7,1101650.0,2017,,
Monday,8,66483.0,2017,,
Tuesday,9,21527.0,2017,,
Wednesday,10,12455.0,2017,,
Monday,1,657308.0,2016,,
Tuesday,2,398926.0,2016,,
Wednesday,3,357077.0,2016,,
Thursday,4,381190.0,2016,,
Friday,5,433913.0,2016,,
Saturday,6,573706.0,2016,,
Sunday,7,983545.0,2016,,
Monday,8,70731.0,2016,,
Tuesday,9,15021.0,2016,,
Wednesday,10,9903.0,2016,,
