ymd,date,dow_int,dow_str,day,doy,dos,is_weekday,is_weekend,is_holiday,is_busy,post_thx,woy,woy_dow,season_week,season_week_dow,month_int,month_str,year,season,season_num,quarter,month_year,month_day,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,December,February,January,March,November,2017-2018,2018-2019,2019-2020,2020-2021,views,log_views,ga_shift1,ga_shift2,ga_shift3,eod_snow_depth,avg_temp,snow,total_snowfall,total_snowfall_days,biggest_snowfall,max_base_depth,average_base_depth,max_summit_depth,average_summit_depth,tot_tix,day_tix,night_tix,tot_sp_est,day_sp_est,night_sp_est,tot_alpine,tot_day,tot_night
2017-11-01,2017-11-01,2,Wednesday,1,305,1,True,False,False,False,False,44,44Wednesday,0,0Wednesday,11,November,2017,2017-2018,75.0,4,2017-11,11-01,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,12039.845732184807,12039.845732184807,12039.845732184807,41.0,0,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-02,2017-11-02,3,Thursday,2,306,2,True,False,False,False,False,44,44Thursday,0,0Thursday,11,November,2017,2017-2018,75.0,4,2017-11,11-02,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,12039.845732184807,12039.845732184807,38.0,0,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-03,2017-11-03,4,Friday,3,307,3,True,False,False,False,False,44,44Friday,0,0Friday,11,November,2017,2017-2018,75.0,4,2017-11,11-03,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,12039.845732184807,35.0,6,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-04,2017-11-04,5,Saturday,4,308,4,False,True,False,False,False,44,44Saturday,0,0Saturday,11,November,2017,2017-2018,75.0,4,2017-11,11-04,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0,4,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-05,2017-11-05,6,Sunday,5,309,5,False,True,False,False,False,44,44Sunday,0,0Sunday,11,November,2017,2017-2018,75.0,4,2017-11,11-05,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,28.0,8,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-06,2017-11-06,0,Monday,6,310,6,True,False,False,False,False,45,45Monday,1,1Monday,11,November,2017,2017-2018,75.0,4,2017-11,11-06,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,24.0,7,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-07,2017-11-07,1,Tuesday,7,311,7,True,False,False,False,False,45,45Tuesday,1,1Tuesday,11,November,2017,2017-2018,75.0,4,2017-11,11-07,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,25.0,8,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-08,2017-11-08,2,Wednesday,8,312,8,True,False,False,False,False,45,45Wednesday,1,1Wednesday,11,November,2017,2017-2018,75.0,4,2017-11,11-08,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,7,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-09,2017-11-09,3,Thursday,9,313,9,True,False,False,False,False,45,45Thursday,1,1Thursday,11,November,2017,2017-2018,75.0,4,2017-11,11-09,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,38.0,6,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-10,2017-11-10,4,Friday,10,314,10,True,False,True,False,False,45,45Friday,1,1Friday,11,November,2017,2017-2018,75.0,4,2017-11,11-10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,9,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
